   Kintetic: 0.00019602000000000004        Potential: 100.0       total: -49.99980398
   Kintetic: 0.00019601922605808116        Potential: 400.0       total: -199.99980398077395
   Kintetic: 0.0031363169042208654        Potential: 900.0       total: -449.9968636830958
   Kintetic: 3.743276896019419e-14        Potential: 1600.0       total: -800.0
   Kintetic: 0.004900434215039261        Potential: 2499.9999999999995       total: -1249.9950995657848
   Kintetic: 0.0001960308354588292        Potential: 3600.0       total: -1799.9998039691645
   Kintetic: 0.007056654987140097        Potential: 4900.0       total: -2449.992943345013
   Kintetic: 0.0007840645224419743        Potential: 6400.0       total: -3199.9992159354774
   Kintetic: 0.023718181635983722        Potential: 8100.0       total: -4049.976281818364
   Kintetic: 0.00019602541861256901        Potential: 9999.999999999998       total: -4999.999803974581
   Kintetic: 0.019601605279858495        Potential: 12100.0       total: -6049.98039839472
   Kintetic: 0.0007841403722469275        Potential: 14400.0       total: -7199.999215859628
   Kintetic: 0.023718087948287236        Potential: 16900.0       total: -8449.976281912051
   Kintetic: 0.0017640917849670226        Potential: 19600.0       total: -9799.998235908215
   Kintetic: 0.06350911487511607        Potential: 22500.0       total: -11249.936490885126
   Kintetic: 0.0007840521500127683        Potential: 25600.0       total: -12799.99921594785
   Kintetic: 0.04410352475100819        Potential: 28900.0       total: -14449.955896475249
   Kintetic: 0.0017643123672214315        Potential: 32400.0       total: -16199.998235687633
   Kintetic: 0.05018041402584719        Potential: 36100.0       total: -18049.949819585974
   Kintetic: 0.003136001190681849        Potential: 39999.99999999999       total: -19999.996863998807
   Kintetic: 0.12250806954745228        Potential: 44100.0       total: -22049.877491930452
   Kintetic: 0.0017639803608926305        Potential: 48400.0       total: -24199.99823601964
   Kintetic: 0.07840648294268436        Potential: 52900.0       total: -26449.921593517058
   Kintetic: 0.0031364748084670943        Potential: 57600.0       total: -28799.99686352519
   Kintetic: 0.1648539423063131        Potential: 62500.0       total: -31249.835146057692
   Kintetic: 0.001765171567258588        Potential: 67600.0       total: -33799.99823482843
   Kintetic: 0.11289156470464615        Potential: 72900.0       total: -36449.887108435294
   Kintetic: 0.5299990008507611        Potential: 78400.0       total: -39199.47000099915
   Kintetic: 0.1036886504568933        Potential: 84100.0       total: -42049.89631134954
   Kintetic: 0.009601340738429493        Potential: 90000.0       total: -44999.99039865926
   Kintetic: 0.28300577466375        Potential: 96100.0       total: -48049.71699422534
   Kintetic: 0.9603921568641274        Potential: 102400.0       total: -51199.03960784314
   Kintetic: 0.2683181118955925        Potential: 108900.0       total: -54449.7316818881
   Kintetic: 0.0017648373850127404        Potential: 115600.0       total: -57799.99823516262
   Kintetic: 0.2006793333661697        Potential: 122500.0       total: -61249.799320666636
   Kintetic: 0.9062474963511175        Potential: 129600.0       total: -64799.09375250365
   Kintetic: 0.18831262781713792        Potential: 136900.0       total: -68449.81168737219
   Kintetic: 0.009614692127658002        Potential: 144400.0       total: -72199.99038530787
   Kintetic: 0.41481714410324627        Potential: 152100.0       total: -76049.5851828559
   Kintetic: 0.007062715292839906        Potential: 159999.99999999997       total: -79999.9929372847
   Kintetic: 0.24008064227526507        Potential: 168100.0       total: -84049.75991935772
   Kintetic: 0.009611593822725509        Potential: 176400.0       total: -88199.99038840618
   Kintetic: 0.49008726957972043        Potential: 184900.0       total: -92449.50991273043
   Kintetic: 0.007065079395676358        Potential: 193600.0       total: -96799.9929349206
   Kintetic: 0.29806220459689825        Potential: 202500.0       total: -101249.7019377954
   Kintetic: 1.4160533301752105        Potential: 211600.0       total: -105798.58394666982
   Kintetic: 0.28302267668034625        Potential: 220900.0       total: -110449.71697732332
   Kintetic: 0.01958804066410812        Potential: 230400.0       total: -115199.98041195933
   Kintetic: 0.6821424799617918        Potential: 240100.0       total: -120049.31785752004
   Kintetic: 2.3284350456517546        Potential: 250000.0       total: -124997.67156495435
   Kintetic: 0.6592253264594619        Potential: 260100.0       total: -130049.34077467355
   Kintetic: 0.007051730916904289        Potential: 270400.0       total: -135199.9929482691
   Kintetic: 0.4329277347871665        Potential: 280900.0       total: -140449.5670722652
   Kintetic: 1.9992646165045116        Potential: 291600.0       total: -145798.0007353835
   Kintetic: 0.41464904209683634        Potential: 302500.0       total: -151249.5853509579
   Kintetic: 0.019614945020838926        Potential: 313600.0       total: -156799.98038505498
   Kintetic: 0.8799318730468055        Potential: 324900.0       total: -162449.12006812694
   Kintetic: 0.015878784175065462        Potential: 336400.0       total: -168199.98412121582
   Kintetic: 0.49002523166044426        Potential: 348100.0       total: -174049.50997476833
   Kintetic: 0.019599067257447055        Potential: 360000.0       total: -179999.98040093275
   Kintetic: 0.9880758281819412        Potential: 372100.0       total: -186049.01192417182
   Kintetic: 0.0158800437899984        Potential: 384400.0       total: -192199.9841199562
   Kintetic: 0.57150601822972        Potential: 396900.0       total: -198449.42849398177
   Kintetic: 2.7291835739594044        Potential: 409600.0       total: -204797.27081642605
   Kintetic: 0.5506854305249943        Potential: 422500.0       total: -211249.44931456947
   Kintetic: 0.03305531518148357        Potential: 435600.0       total: -217799.96694468483
   Kintetic: 1.2537608753234124        Potential: 448900.0       total: -224448.74623912468
   Kintetic: 4.291906862858551        Potential: 462400.0       total: -231195.70809313713
   Kintetic: 1.2225971001245102        Potential: 476100.0       total: -238048.77740289987
   Kintetic: 0.015827438782360898        Potential: 490000.0       total: -244999.9841725612
   Kintetic: 0.7535744176941576        Potential: 504100.0       total: -252049.2464255823
   Kintetic: 3.519528449334206        Potential: 518400.0       total: -259196.48047155066
   Kintetic: 0.7293584931347536        Potential: 532900.0       total: -266449.2706415069
   Kintetic: 0.03309805516894706        Potential: 547600.0       total: -273799.96690194483
   Kintetic: 1.5175656301095424        Potential: 562500.0       total: -281248.4824343699
   Kintetic: 0.028171931778838793        Potential: 577600.0       total: -288799.9718280682
   Kintetic: 0.8284515044200496        Potential: 592900.0       total: -296449.1715484956
   Kintetic: 0.03305475352894869        Potential: 608400.0       total: -304199.96694524644
   Kintetic: 1.65849748688659        Potential: 624100.0       total: -312048.3415025131
   Kintetic: 0.0281673346719195        Potential: 639999.9999999999       total: -319999.97183266527
   Kintetic: 0.9334470578443552        Potential: 656099.9999999999       total: -328049.0665529421
   Kintetic: 0.03309001697409941        Potential: 672400.0       total: -336199.966909983
   Kintetic: 0.9606726468167089        Potential: 688900.0       total: -344449.0393273532
   Kintetic: 0.03835854316542919        Potential: 705600.0       total: -352799.9616414568
   Kintetic: 1.9206139860151379        Potential: 722500.0       total: -361248.07938601397
   Kintetic: 0.033075199833972314        Potential: 739600.0       total: -369799.9669248002
   Kintetic: 1.073533779839036        Potential: 756900.0       total: -378448.9264662202
   Kintetic: 0.03839269744223526        Potential: 774400.0       total: -387199.96160730254
   Kintetic: 1.102738267038044        Potential: 792100.0       total: -396048.89726173296
   Kintetic: 0.044044249484919626        Potential: 810000.0       total: -404999.95595575054
   Kintetic: 2.2018598729857244        Potential: 828100.0       total: -414047.79814012704
   Kintetic: 0.03836472598007197        Potential: 846400.0       total: -423199.961635274
   Kintetic: 1.2234797936503319        Potential: 864900.0       total: -432448.77652020636
   Kintetic: 0.044075769989548236        Potential: 883600.0       total: -441799.95592423
   Kintetic: 1.25467027899221        Potential: 902500.0       total: -451248.745329721
   Kintetic: 0.05010735685426309        Potential: 921600.0       total: -460799.94989264314
   Kintetic: 2.502202596432419        Potential: 940900.0       total: -470447.49779740354
   Kintetic: 0.04403138688918004        Potential: 960400.0       total: -480199.9559686131
   Kintetic: 1.3833089125203846        Potential: 980100.0       total: -490048.6166910875
   Kintetic: 0.050134495742645536        Potential: 1000000.0       total: -499999.9498655043
