   Kintetic: 1987.6105240493064        Potential: 2734941.7607267136       total: -1365483.2698393075
   Kintetic: 2042.4345037428884        Potential: 10941950.955029348       total: -5468933.043010931
   Kintetic: 2206.8329000231142        Potential: 24621262.442564085       total: -12308424.38838202
   Kintetic: 2579.3994075766996        Potential: 43772876.22333093       total: -21883858.71225789
   Kintetic: 3291.5962643657413        Potential: 68396792.29732987       total: -34195104.552400574
   Kintetic: 4507.760339741952        Potential: 98493010.66456094       total: -49241997.57194073
   Kintetic: 6425.11256536802        Potential: 134061531.32502407       total: -67024340.549946666
   Kintetic: 9268.895365570439        Potential: 175102354.27871934       total: -87541908.2439941
   Kintetic: 13306.041143733477        Potential: 221615479.5256467       total: -110794433.72167961
   Kintetic: 18832.39356555939        Potential: 273600907.06580615       total: -136781621.1393375
   Kintetic: 26176.751642878175        Potential: 331058636.89919776       total: -165503141.697956
   Kintetic: 35700.90702726842        Potential: 393988669.02582145       total: -196958633.60588345
   Kintetic: 47779.9784656479        Potential: 462391003.4456772       total: -231147721.74437296
   Kintetic: 62861.96596730741        Potential: 536265640.15876514       total: -268069958.11341527
   Kintetic: 81408.36400103141        Potential: 615612579.1650851       total: -307724881.2185415
   Kintetic: 103913.92544530783        Potential: 700431820.4646372       total: -350111996.30687326
   Kintetic: 130859.25669182121        Potential: 790723364.0574214       total: -395230822.7720189
   Kintetic: 162853.45845517257        Potential: 886487209.9434376       total: -443080751.51326364
   Kintetic: 200492.1055434409        Potential: 987723358.122686       total: -493661186.9557996
   Kintetic: 244378.5785633266        Potential: 1094664711.116706       total: -547087976.9797896
   Kintetic: 295196.21237114933        Potential: 1207101757.1808865       total: -603255682.3780721
   Kintetic: 353549.842853832        Potential: 1325188727.0119262       total: -662240813.6631093
   Kintetic: 420134.7953263325        Potential: 1449005787.8153977       total: -724082759.1123725
   Kintetic: 495861.7499845267        Potential: 1578352122.366073       total: -788680199.433052
   Kintetic: 581563.3920894277        Potential: 1713227730.6639516       total: -856032301.9398863
   Kintetic: 678086.2231674809        Potential: 1853632612.7090344       total: -926138220.1313497
   Kintetic: 786030.8308094097        Potential: 1999767330.965419       total: -999097634.6519002
   Kintetic: 906178.0047087814        Potential: 2151446375.3531337       total: -1074817009.671858
   Kintetic: 1039638.2174492606        Potential: 2308809275.339121       total: -1153364999.4521112
   Kintetic: 1187518.0091506667        Potential: 2471726378.1194396       total: -1234675671.050569
   Kintetic: 1351015.4569183895        Potential: 2640394711.2242637       total: -1318846340.1552134
   Kintetic: 1530277.5266447146        Potential: 2814630212.4049225       total: -1405784828.6758165
   Kintetic: 1727284.9654926376        Potential: 2994432881.661417       total: -1495489155.8652158
   Kintetic: 1943187.1436052576        Potential: 3179802718.993748       total: -1587958172.3532689
   Kintetic: 2178461.1928414674        Potential: 3370793499.090015       total: -1683218288.352166
   Kintetic: 2434133.5553971957        Potential: 3568032231.5496798       total: -1781581982.2194426
   Kintetic: 2711964.0727179856        Potential: 3770879786.4110694       total: -1882727929.1328168
   Kintetic: 3013505.1772911856        Potential: 3979336163.674186       total: -1986654576.659802
   Kintetic: 3339621.4570916276        Potential: 4193430295.421299       total: -2093375526.253558
   Kintetic: 3690064.267803084        Potential: 4413523619.765013       total: -2203071745.614703
   Kintetic: 4068588.996061332        Potential: 4639247470.869618       total: -2315555146.438748
   Kintetic: 4476536.504717011        Potential: 4871508129.602205       total: -2431277528.296386
   Kintetic: 4915349.608995483        Potential: 5109138908.870252       total: -2549654104.8261304
   Kintetic: 5384426.748629829        Potential: 5352430073.785168       total: -2670830610.143954
   Kintetic: 5886183.938858774        Potential: 5601381624.346952       total: -2794804628.234617
   Kintetic: 6419331.781390291        Potential: 5855993560.55561       total: -2921577448.4964147
   Kintetic: 6988789.918031711        Potential: 6116265882.411131       total: -3051144151.2875338
   Kintetic: 7596167.3003058955        Potential: 6382038403.316924       total: -3183423034.358156
   Kintetic: 8238587.838493645        Potential: 6654207122.198533       total: -3318864973.2607727
   Kintetic: 8922369.373519152        Potential: 6932175596.388333       total: -3457165428.8206477
   Kintetic: 9645083.86808673        Potential: 7216439741.074591       total: -3598574786.6692085
   Kintetic: 10408033.518085372        Potential: 7507667745.7312765       total: -3743425839.347553
   Kintetic: 11213635.408520304        Potential: 7804728005.381266       total: -3891150367.2821126
   Kintetic: 12066666.424473494        Potential: 8108189318.104114       total: -4042027992.6275835
   Kintetic: 12971135.661627414        Potential: 8418240526.666303       total: -4196149127.671524
   Kintetic: 13927839.084088068        Potential: 8734103680.907202       total: -4353124001.369513
   Kintetic: 14932381.070158966        Potential: 9056012654.34339       total: -4513073946.101536
   Kintetic: 15992872.25258601        Potential: 9383946786.904982       total: -4675980521.199904
   Kintetic: 17110036.430015028        Potential: 9718009411.883821       total: -4841894669.511896
   Kintetic: 18283430.238359503        Potential: 10058106291.777893       total: -5010769715.650587
   Kintetic: 19513121.312085673        Potential: 10404797773.204933       total: -5182885765.2903805
   Kintetic: 20795480.28102304        Potential: 10758349564.367287       total: -5358379301.90262
   Kintetic: 22142534.84195415        Potential: 11118420997.903482       total: -5537067964.109787
   Kintetic: 23542607.758066125        Potential: 11484394102.613735       total: -5718654443.548801
   Kintetic: 25010382.14757929        Potential: 11857290804.200691       total: -5903635019.952766
   Kintetic: 26543692.006378338        Potential: 12235821909.17209       total: -6091367262.579667
   Kintetic: 28151765.522574194        Potential: 12621112396.681599       total: -6282404432.818225
   Kintetic: 29836243.947755337        Potential: 13012132543.012827       total: -6476230027.558659
   Kintetic: 31582704.806178126        Potential: 13409816261.529686       total: -6673325425.958665
   Kintetic: 33408029.04679371        Potential: 13814110755.229784       total: -6873647348.568098
   Kintetic: 35298177.35557427        Potential: 14224775615.995434       total: -7077089630.642142
   Kintetic: 37265643.230762385        Potential: 14642711208.409536       total: -7284089960.974006
   Kintetic: 39298655.888158016        Potential: 15067523244.169653       total: -7494462966.196669
   Kintetic: 41395547.20501667        Potential: 15498238888.747202       total: -7707723897.168584
   Kintetic: 43560047.76456334        Potential: 15935164652.595179       total: -7924022278.533026
