   Kintetic: 1987.6105240493064        Potential: 2734941.7607267136       total: -1365483.2698393075
   Kintetic: 2040.5799320841525        Potential: 10940347.323802276       total: -5468133.0819690535
   Kintetic: 2200.727814703282        Potential: 24616234.689226683       total: -12305916.616798637
   Kintetic: 2564.060592670656        Potential: 43762603.85699994       total: -21878737.8679073
   Kintetic: 3261.3349575739167        Potential: 68379454.82712205       total: -34186466.07860345
   Kintetic: 4451.896033536139        Potential: 98466787.59959301       total: -49228941.903762974
   Kintetic: 6331.908426560848        Potential: 134024602.17441279       total: -67005969.17877983
   Kintetic: 9119.629231413383        Potential: 175052898.5515815       total: -87517329.64655934
   Kintetic: 13080.584777594398        Potential: 221551676.73109898       total: -110762757.7807719
   Kintetic: 18501.640391233617        Potential: 273520936.7129653       total: -136741966.71609142
   Kintetic: 25709.84304238175        Potential: 330960678.49718046       total: -165454629.40554786
   Kintetic: 35056.016991714336        Potential: 393870902.0837444       total: -196900395.0248805
   Kintetic: 46913.18844910137        Potential: 462251607.47265744       total: -231078890.5478796
   Kintetic: 61716.404178121855        Potential: 536102794.66391915       total: -267989680.92778146
   Kintetic: 79924.72705181228        Potential: 615424463.6575298       total: -307632307.1017131
   Kintetic: 102017.99287006627        Potential: 700216614.4534892       total: -350006289.2338745
   Kintetic: 128474.22440971984        Potential: 790479247.0517975       total: -395111149.30148906
   Kintetic: 159885.69473967515        Potential: 886212361.4524548       total: -442946295.0314877
   Kintetic: 196844.50283030112        Potential: 987415957.6554606       total: -493511134.3249
   Kintetic: 239935.17973010615        Potential: 1094322961.9751565       total: -546921545.8078482
   Kintetic: 289837.1053229762        Potential: 1206723841.3786352       total: -603072083.5839946
   Kintetic: 347134.32031042624        Potential: 1324772834.8570924       total: -662039283.1082357
   Kintetic: 412517.44126240304        Potential: 1448550086.4119868       total: -723862525.764731
   Kintetic: 486874.7246945016        Potential: 1577854793.0904272       total: -788440521.8205191
   Kintetic: 571034.1230045718        Potential: 1712686954.892411       total: -855772443.323201
   Kintetic: 665817.6946633623        Potential: 1853046571.8179398       total: -925857468.2143065
   Kintetic: 771820.7667090177        Potential: 1999134638.1967       total: -998795498.3316411
   Kintetic: 889797.7923124153        Potential: 2150765245.303562       total: -1074492824.8594687
   Kintetic: 1020853.547772249        Potential: 2308077910.616705       total: -1153018101.7605803
   Kintetic: 1166066.3011095389        Potential: 2470942992.46461       total: -1234305429.9311955
   Kintetic: 1326627.981314265        Potential: 2639557506.111893       total: -1318452125.0746324
   Kintetic: 1502655.144513865        Potential: 2813737400.757738       total: -1405366045.2343552
   Kintetic: 1696122.5765672685        Potential: 2993482676.402146       total: -1495045215.6245058
   Kintetic: 1908147.5654680885        Potential: 3178793333.045115       total: -1587488518.9570894
   Kintetic: 2139200.6295915754        Potential: 3369723141.1789694       total: -1682722369.9598932
   Kintetic: 2390272.201636837        Potential: 3566899167.0098276       total: -1781059311.303277
   Kintetic: 2663115.308657214        Potential: 3769682230.927338       total: -1882178000.155012
   Kintetic: 2959246.3160565747        Potential: 3978072332.9315023       total: -1986076920.1496947
   Kintetic: 3279522.4982483857        Potential: 4192069473.0223193       total: -2092755214.0129113
   Kintetic: 3623656.447624713        Potential: 4412096787.107523       total: -2202424737.106137
   Kintetic: 3995396.1524007292        Potential: 4637753038.914384       total: -2314881123.3047915
   Kintetic: 4396039.24201913        Potential: 4869944581.459967       total: -2430576251.487964
   Kintetic: 4827021.381709017        Potential: 5107504639.9739275       total: -2548925298.6052547
   Kintetic: 5287699.788616446        Potential: 5350723495.928793       total: -2670074048.17578
   Kintetic: 5780481.360617826        Potential: 5599601149.324565       total: -2794020093.301665
   Kintetic: 6304034.019447327        Potential: 5854137600.161241       total: -2920764766.061173
   Kintetic: 6863269.140732069        Potential: 6114332848.438823       total: -3050303155.078679
   Kintetic: 7459750.860402208        Potential: 6380026712.880717       total: -3182553605.5799565
   Kintetic: 8090594.734575577        Potential: 6652115095.280632       total: -3317966952.9057403
   Kintetic: 8762072.01879177        Potential: 6930001604.074667       total: -3456238730.018542
   Kintetic: 9471743.144759879        Potential: 7214182247.580068       total: -3597619380.645274
   Kintetic: 10220857.352972466        Potential: 7505325143.637373       total: -3742441714.465714
   Kintetic: 11011824.851230394        Potential: 7802298717.541046       total: -3890137533.9192924
   Kintetic: 11849369.387543663        Potential: 8105671748.591147       total: -4040986504.90803
   Kintetic: 12737488.53983884        Potential: 8415633925.566544       total: -4195079474.243433
   Kintetic: 13676925.749927519        Potential: 8731407393.597454       total: -4352026771.0487995
   Kintetic: 14663271.470102768        Potential: 9053225131.717825       total: -4511949294.38881
   Kintetic: 15704583.251258127        Potential: 9381012891.273392       total: -4674801862.385438
   Kintetic: 16801545.727387093        Potential: 9714976987.503363       total: -4840686948.024294
   Kintetic: 17953714.181631155        Potential: 10054973689.124722       total: -5009533130.38073
   Kintetic: 19161327.010151997        Potential: 10401563348.51163       total: -5181620347.245663
   Kintetic: 20420286.11148915        Potential: 10755011774.786081       total: -5357085601.281551
   Kintetic: 21742804.490493916        Potential: 11114979214.5894       total: -5535746802.804206
   Kintetic: 23117140.88765096        Potential: 11480846837.362743       total: -5717306277.793721
   Kintetic: 24558095.79445525        Potential: 11853637345.587376       total: -5902260576.999232
   Kintetic: 26063175.17622258        Potential: 12232060708.624338       total: -6089967179.135946
   Kintetic: 27641729.17426976        Potential: 12617244353.19463       total: -6280980447.423045
   Kintetic: 29295234.284304865        Potential: 13008156129.967216       total: -6474782830.699304
   Kintetic: 31009433.577205397        Potential: 13405729942.60404       total: -6671855537.724814
   Kintetic: 32801113.708601024        Potential: 13809913064.197958       total: -6872155418.390378
   Kintetic: 34656077.4916143        Potential: 14220465051.203968       total: -7075576448.11037
   Kintetic: 36583875.915273026        Potential: 14638286251.606401       total: -7282559249.887928
   Kintetic: 38587941.482082084        Potential: 15063171563.97242       total: -7492997840.5041275
   Kintetic: 40654726.15948488        Potential: 15493781621.20864       total: -7706236084.444835
   Kintetic: 42788042.45721738        Potential: 15930600726.213247       total: -7922512320.649406
   Kintetic: 44972546.163825095        Potential: 16373886285.21768       total: -8141970596.445015
   Kintetic: 47237764.948748305        Potential: 16823445535.282267       total: -8364485002.692385
   Kintetic: 49578338.88946518        Potential: 17281147843.854538       total: -8590995583.037804
   Kintetic: 52017103.537328646        Potential: 17746766984.115494       total: -8821366388.520418
   Kintetic: 54538989.66862753        Potential: 18220544082.346687       total: -9055733051.504717
   Kintetic: 57138459.083967514        Potential: 18703115395.344677       total: -9294419238.588371
   Kintetic: 59801640.349368185        Potential: 19192904984.695137       total: -9536650851.9982
   Kintetic: 62526998.04958694        Potential: 19691487692.62169       total: -9783216848.261257
   Kintetic: 65330364.882632144        Potential: 20196625311.821182       total: -10032982291.02796
   Kintetic: 68211203.4814277        Potential: 20709300831.641407       total: -10286439212.339275
   Kintetic: 71214090.3611739        Potential: 21229922447.073654       total: -10543747133.175653
   Kintetic: 74323888.50756419        Potential: 21760198007.44146       total: -10805775115.213165
   Kintetic: 77470588.43753615        Potential: 22297468256.14427       total: -11071263539.6346
   Kintetic: 80709480.50104511        Potential: 22843890857.093826       total: -11341235948.045868
   Kintetic: 83969932.03056128        Potential: 23397261450.279537       total: -11614660793.109207
   Kintetic: 87257428.3271733        Potential: 23961019735.627552       total: -11893252439.486603
   Kintetic: 90576689.1086797        Potential: 24533510943.736507       total: -12176178782.759575
   Kintetic: 93984642.62795442        Potential: 25114492748.768753       total: -12463261731.756422
   Kintetic: 97473778.5286406        Potential: 25703106877.7939       total: -12754079660.368309
   Kintetic: 101052486.52915683        Potential: 26299337080.526245       total: -13048616053.733965
   Kintetic: 104724595.20382869        Potential: 26903768331.50484       total: -13347159570.548592
   Kintetic: 108450591.37300096        Potential: 27516967006.206177       total: -13650032911.730087
   Kintetic: 112165782.33861        Potential: 28138630746.4668       total: -13957149590.89479
   Kintetic: 116051394.66657497        Potential: 28769810935.676502       total: -14268854073.171677
   Kintetic: 119991766.07354078        Potential: 29411942027.53203       total: -14585979247.692472
